,id,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,availability_365,calculated_host_listings_count
0,13188,Riley Park,49.24773,-123.10509,Entire home/apt,150.0,283,0,1
1,13221,Riley Park,49.25489,-123.09708,Entire home/apt,120.0,15,363,1
2,13358,Downtown,49.28117370605469,-123.1259307861328,Entire home/apt,165.0,493,0,1
3,13490,Kensington-Cedar Cottage,49.25622,-123.06607,Entire home/apt,150.0,101,92,1
4,14267,Kensington-Cedar Cottage,49.24922,-123.08139,Entire home/apt,150.0,33,17,1
5,16254,Hastings-Sunrise,49.27721,-123.04086,Entire home/apt,800.0,7,0,1
6,16611,Grandview-Woodland,49.26339,-123.07145,Entire home/apt,100.0,3,89,5
7,17765,Mount Pleasant,49.26132,-123.10845,Entire home/apt,139.0,203,0,1
8,18024,Kensington-Cedar Cottage,49.24781,-123.07241,Private room,139.0,0,0,1
9,18270,Mount Pleasant,49.26557,-123.096,Private room,51.0,118,234,1
10,18589,Grandview-Woodland,49.27569,-123.07057,Private room,99.0,514,0,1
11,18795,West End,49.28299,-123.13008,Private room,75.0,131,339,4
12,19621,Downtown,49.27323,-123.12032,Entire home/apt,250.0,2,130,2
13,20085,Kensington-Cedar Cottage,49.25636,-123.08636,Entire home/apt,99.0,78,357,1
14,21912,Renfrew-Collingwood,49.23361,-123.05283,Private room,70.0,398,137,4
15,21913,Renfrew-Collingwood,49.23442,-123.05307,Entire home/apt,72.0,233,135,4
16,24273,Kitsilano,49.26216,-123.1715,Entire home/apt,150.0,17,242,2
17,26047,Downtown,49.28086,-123.12375,Entire home/apt,169.0,44,97,4
18,33150,Riley Park,49.24677,-123.1048,Entire home/apt,125.0,129,299,1
19,35304,Grandview-Woodland,49.2729,-123.06973,Entire home/apt,99.0,586,279,1
20,42645,Downtown,49.28036,-123.1234,Entire home/apt,169.0,33,151,4
21,49736,Kitsilano,49.26778,-123.14674,Entire home/apt,139.0,9,0,1
22,70453,Downtown Eastside,49.27836,-123.08716,Entire home/apt,391.0,37,4,3
23,73841,Downtown,49.27591,-123.12359,Entire home/apt,139.0,23,85,1
24,77157,Arbutus Ridge,49.2452,-123.16544,Entire home/apt,125.0,771,290,2
25,98830,Downtown,49.27936,-123.12443,Entire home/apt,139.0,271,0,1
26,125176,Riley Park,49.24615,-123.09462,Private room,90.0,662,7,1
27,134688,Renfrew-Collingwood,49.24356,-123.04757,Private room,90.0,44,269,5
28,140698,Mount Pleasant,49.26262921288303,-123.1044384134911,Private room,125.0,164,0,1
29,172827,Downtown,49.28034,-123.12648,Entire home/apt,139.0,7,0,1
30,182451,Kitsilano,49.25808,-123.16824,Entire home/apt,131.0,58,129,1
31,196722,Grandview-Woodland,49.2634,-123.0712,Entire home/apt,139.0,13,0,1
32,219261,Kitsilano,49.2719,-123.15043,Entire home/apt,123.0,256,314,3
33,248014,Grandview-Woodland,49.29103,-123.05782,Entire home/apt,100.0,1,218,1
34,254657,Downtown Eastside,49.28375,-123.10383,Entire home/apt,298.0,95,34,1
35,256178,Kitsilano,49.26293,-123.17143,Entire home/apt,145.0,24,0,2
36,257163,Kensington-Cedar Cottage,49.23841,-123.0651,Private room,65.0,42,72,1
37,311354,Grandview-Woodland,49.26328,-123.07086,Entire home/apt,100.0,6,89,5
38,322824,Downtown,49.27608,-123.12452,Entire home/apt,145.0,156,95,2
39,323090,Downtown,49.28244,-123.12293,Entire home/apt,168.0,72,0,2
40,359942,Downtown,49.27634,-123.11825,Private room,255.0,46,364,5
41,377706,Grandview-Woodland,49.27799,-123.07101,Private room,139.0,58,0,1
42,415700,Renfrew-Collingwood,49.2332,-123.0551,Private room,71.0,259,132,4
43,436032,Downtown Eastside,49.28211,-123.10453,Entire home/apt,285.0,154,327,1
44,448104,Downtown,49.28063,-123.12502,Entire home/apt,158.0,269,91,2
45,461370,Killarney,49.22834,-123.03047,Private room,153.0,51,365,5
46,461386,Killarney,49.23034,-123.02971,Private room,153.0,44,363,5
47,464172,Hastings-Sunrise,49.284812927246094,-123.05479431152344,Entire home/apt,108.0,14,154,1
48,475296,Downtown Eastside,49.28241,-123.10381,Entire home/apt,1000.0,226,0,1
49,496298,Downtown,49.28062,-123.11815,Entire home/apt,127.0,165,129,1
50,498112,Kensington-Cedar Cottage,49.25099,-123.07457,Entire home/apt,475.0,36,91,2
51,507767,Downtown,49.27741,-123.12292,Entire home/apt,260.0,4,316,41
52,540348,Kensington-Cedar Cottage,49.25759,-123.06393,Entire home/apt,486.0,92,347,1
53,557357,Grandview-Woodland,49.27917,-123.06246,Entire home/apt,90.0,194,86,1
54,622217,Downtown,49.27999,-123.1075,Entire home/apt,575.0,61,355,2
55,625396,Kitsilano,49.270655316242745,-123.18291314738148,Entire home/apt,310.0,190,108,1
56,648026,Grandview-Woodland,49.26775,-123.06862,Entire home/apt,88.0,66,49,1
57,654744,West End,49.29178,-123.14175,Entire home/apt,150.0,75,166,1
58,654763,Kensington-Cedar Cottage,49.2506,-123.07175,Entire home/apt,52.0,22,1,2
59,659986,South Cambie,49.24413,-123.11955,Private room,100.0,27,0,1
60,703179,Downtown,49.27945,-123.10875,Entire home/apt,139.0,181,0,1
61,713271,West End,49.28104,-123.13621,Entire home/apt,135.0,94,234,1
62,731219,Kitsilano,49.26026,-123.18195,Entire home/apt,155.0,13,36,1
63,755558,Kitsilano,49.25996,-123.16653,Entire home/apt,139.0,78,0,1
64,763445,Renfrew-Collingwood,49.24438,-123.04453,Entire home/apt,139.0,237,0,1
65,771366,Downtown,49.278350830078125,-123.1224136352539,Entire home/apt,240.0,10,341,41
66,771380,Downtown,49.278350830078125,-123.1224136352539,Entire home/apt,385.0,11,365,41
67,784153,Kitsilano,49.26186,-123.17438,Entire home/apt,83.0,62,270,3
68,785297,Kitsilano,49.26355,-123.17326,Private room,92.0,84,224,3
69,785752,Kitsilano,49.26213,-123.17482,Entire home/apt,125.0,3,211,3
70,796603,West End,49.28087,-123.13525,Shared room,30.0,0,0,1
71,801222,Fairview,49.25804,-123.12119,Entire home/apt,95.0,23,361,3
72,824612,Hastings-Sunrise,49.28618,-123.05403,Entire home/apt,84.0,74,144,1
73,875309,Kitsilano,49.27073,-123.16325,Entire home/apt,139.0,35,0,1
74,885600,Dunbar Southlands,49.24803,-123.18517,Entire home/apt,140.0,275,180,1
75,961006,Riley Park,49.23569,-123.10987,Entire home/apt,139.0,6,0,4
76,961831,Kitsilano,49.26648,-123.15939,Private room,99.0,42,85,2
77,980511,Downtown,49.27489,-123.12654,Entire home/apt,139.0,11,0,33
78,995174,West End,49.28837,-123.12766,Entire home/apt,139.0,15,0,33
79,1012385,Mount Pleasant,49.25674175777474,-123.08739684561344,Entire home/apt,84.0,364,145,1
80,1015935,Downtown Eastside,49.2804,-123.08908,Entire home/apt,125.0,217,112,3
81,1021607,Downtown,49.27747,-123.12098,Entire home/apt,70.0,110,49,1
82,1032892,Grandview-Woodland,49.27241,-123.06332,Private room,125.0,131,155,1
83,1061895,Renfrew-Collingwood,49.24166,-123.0407,Private room,86.0,86,12,1
84,1092176,West End,49.2843,-123.13119,Entire home/apt,200.0,55,32,2
85,1109821,West End,49.29258,-123.13446,Entire home/apt,139.0,11,0,33
86,1113551,Kitsilano,49.26110076904297,-123.1595458984375,Entire home/apt,780.0,48,110,1
87,1118858,West End,49.28239,-123.13021,Private room,75.0,61,360,4
88,1141457,Downtown Eastside,49.27925,-123.08814,Entire home/apt,103.0,330,200,1
89,1178149,Hastings-Sunrise,49.26957,-123.04828,Entire home/apt,114.0,83,172,1
90,1187929,Kensington-Cedar Cottage,49.24965,-123.07027,Entire home/apt,199.0,122,45,1
91,1191143,Kitsilano,49.26716,-123.17653,Entire home/apt,300.0,16,102,2
92,1214617,Grandview-Woodland,49.26731,-123.06909,Entire home/apt,179.0,246,114,1
93,1223989,Downtown,49.27843,-123.12901,Entire home/apt,139.0,99,0,1
94,1229506,Grandview-Woodland,49.26596,-123.06844,Entire home/apt,520.0,14,337,1
95,1273760,Downtown,49.28478,-123.1192,Private room,183.0,583,301,2
96,1291394,Kitsilano,49.26889,-123.18543,Entire home/apt,150.0,43,225,2
97,1309315,Mount Pleasant,49.26719,-123.10982,Entire home/apt,139.0,7,0,1
98,1316477,Downtown,49.27859,-123.11993,Entire home/apt,139.0,7,0,33
99,1343411,Downtown Eastside,49.27627,-123.10013,Entire home/apt,139.0,54,0,1
100,1343519,West End,49.28247,-123.13068,Private room,75.0,71,365,4
101,1360765,Downtown,49.284,-123.11432,Entire home/apt,110.0,122,275,3
102,1365609,West End,49.27932,-123.12911,Entire home/apt,123.0,187,57,1
103,1393599,Downtown,49.27393,-123.10069,Entire home/apt,250.0,1,180,1
104,1399744,Mount Pleasant,49.26964,-123.11064,Entire home/apt,450.0,13,182,1
105,1502887,Downtown,49.29014,-123.12716,Entire home/apt,139.0,5,0,33
106,1507975,Riley Park,49.24882,-123.09121,Private room,81.0,342,0,1
107,1525113,West End,49.29101,-123.14085,Entire home/apt,70.0,18,42,33
108,1610084,Kensington-Cedar Cottage,49.259355585297335,-123.06131358343916,Entire home/apt,183.0,189,311,1
109,1623556,Riley Park,49.25259,-123.09292,Entire home/apt,110.0,338,148,1
110,1629480,Riley Park,49.25225,-123.10756,Entire home/apt,80.0,143,118,1
111,1657214,Downtown Eastside,49.28167,-123.10984,Entire home/apt,250.0,6,166,1
112,1703616,Kitsilano,49.26548,-123.14579,Entire home/apt,130.0,3,365,1
113,1717967,Riley Park,49.24778,-123.09867,Entire home/apt,150.0,357,166,1
114,1733307,Downtown,49.27781,-123.10637,Entire home/apt,199.0,152,9,1
115,1768817,Riley Park,49.24489,-123.10302,Entire home/apt,95.0,72,318,1
116,1820919,Mount Pleasant,49.2585,-123.11479,Entire home/apt,395.0,88,9,1
117,1830733,Downtown Eastside,49.27866,-123.08627,Entire home/apt,150.0,269,165,4
118,1850984,Strathcona,49.26772,-123.0975,Entire home/apt,139.0,36,0,1
119,1869071,Downtown,49.28216,-123.12438,Entire home/apt,83.0,5,0,33
120,1898584,Downtown,49.27915,-123.10642,Entire home/apt,82.0,37,75,1
121,1932171,Grandview-Woodland,49.26861,-123.06666,Entire home/apt,139.0,11,0,1
122,1936740,Shaughnessy,49.25646,-123.14563,Entire home/apt,100.0,0,364,1
123,1962072,Mount Pleasant,49.26,-123.10807,Entire home/apt,200.0,1,144,1
124,1995592,Kitsilano,49.263252,-123.164825,Private room,110.0,346,78,1
125,2003897,Fairview,49.26263,-123.11627,Entire home/apt,130.0,2,72,1
126,2011559,Kitsilano,49.26057,-123.15881,Entire home/apt,594.0,43,49,1
127,2033952,Kitsilano,49.26715,-123.15325,Entire home/apt,139.0,6,0,1
128,2041582,Kitsilano,49.2753,-123.14721,Entire home/apt,125.0,253,314,1
129,2042431,Downtown,49.28005,-123.11659,Entire home/apt,135.0,139,195,2
130,2046259,Riley Park,49.23573,-123.10819,Entire home/apt,139.0,7,0,4
131,2056676,Downtown,49.27393,-123.11599,Entire home/apt,110.0,95,350,3
132,2084273,Renfrew-Collingwood,49.24976,-123.03547,Private room,85.0,46,194,5
133,2092610,Mount Pleasant,49.2655,-123.0969,Entire home/apt,125.0,46,343,2
134,2106364,Renfrew-Collingwood,49.24958,-123.0359,Private room,75.0,35,249,5
135,2163742,Kensington-Cedar Cottage,49.26199,-123.07408,Private room,78.0,132,170,1
136,2168943,Fairview,49.25972,-123.14269,Entire home/apt,139.0,14,0,1
137,2183209,Kitsilano,49.26597,-123.15633,Entire home/apt,200.0,135,365,1
138,2198419,Downtown,49.2773,-123.12294,Entire home/apt,115.0,142,257,1
139,2216062,West Point Grey,49.26992,-123.18596,Entire home/apt,99.0,66,80,1
140,2273714,Grandview-Woodland,49.27228,-123.06946,Entire home/apt,180.0,40,73,1
141,2282114,Dunbar Southlands,49.23792,-123.18224,Entire home/apt,750.0,23,217,1
142,2365994,West End,49.28298,-123.12339,Entire home/apt,150.0,96,0,1
143,2430682,Kitsilano,49.27104,-123.14994,Entire home/apt,219.0,94,16,1
144,2454353,Kensington-Cedar Cottage,49.23748,-123.08735,Entire home/apt,160.0,183,163,1
145,2472791,Kitsilano,49.27075,-123.1541,Entire home/apt,195.0,20,67,1
146,2493042,Fairview,49.26254,-123.13054,Entire home/apt,133.0,1,0,1
147,2502137,Mount Pleasant,49.25877,-123.08299,Entire home/apt,90.0,53,332,1
148,2521520,Killarney,49.21083,-123.04264,Entire home/apt,163.0,16,365,1
149,2532975,Hastings-Sunrise,49.28586959838867,-123.05322265625,Entire home/apt,199.0,46,335,1
150,2576878,Fairview,49.25865,-123.12294,Entire home/apt,106.0,8,255,3
151,2592307,South Cambie,49.25222,-123.1186,Entire home/apt,112.0,710,112,1
152,2644110,Grandview-Woodland,49.28545,-123.06435,Entire home/apt,139.0,22,0,1
153,2653578,Downtown,49.28044,-123.12496,Entire home/apt,124.0,408,0,1
154,2658803,West End,49.28169,-123.12628,Entire home/apt,139.0,19,0,33
155,2669445,West Point Grey,49.27109,-123.2088,Entire home/apt,94.0,13,365,1
156,2675179,Kitsilano,49.27512,-123.15131,Entire home/apt,295.0,102,226,1
157,2709965,Kensington-Cedar Cottage,49.25572,-123.06554,Private room,139.0,106,0,1
158,2710628,Hastings-Sunrise,49.26523149806469,-123.03565216064452,Entire home/apt,124.0,21,322,1
159,2730555,Mount Pleasant,49.26536,-123.09943,Entire home/apt,190.0,138,90,1
160,2764812,Downtown,49.27992,-123.12658,Entire home/apt,244.0,173,171,1
161,2812038,Mount Pleasant,49.25665,-123.10039,Entire home/apt,168.0,215,96,1
162,2831971,Grandview-Woodland,49.27465,-123.0669,Entire home/apt,60.0,2,347,1
163,2836478,Downtown,49.27293,-123.12547,Entire home/apt,139.0,3,0,1
164,2847310,Downtown Eastside,49.28247,-123.10342,Entire home/apt,241.0,458,209,1
165,2876573,Downtown,49.28945,-123.12665,Entire home/apt,163.0,0,364,1
166,2944104,Downtown,49.27795,-123.11734,Entire home/apt,110.0,101,248,3
167,2958786,West End,49.29314,-123.13535,Private room,117.0,403,70,1
168,2966088,Kensington-Cedar Cottage,49.247898,-123.082802,Entire home/apt,209.0,51,350,2
169,2985232,West Point Grey,49.26338,-123.18966,Entire home/apt,139.0,11,0,1
170,2988185,West End,49.28884,-123.13288,Entire home/apt,98.0,5,25,33
171,2988465,West End,49.28748,-123.1289,Entire home/apt,87.0,7,38,33
172,2997414,Strathcona,49.27629,-123.09888,Entire home/apt,139.0,8,0,1
173,3018758,Hastings-Sunrise,49.28006,-123.05409,Entire home/apt,139.0,2,0,1
174,3040736,Downtown,49.2796,-123.12152,Entire home/apt,139.0,0,0,33
175,3068198,Kitsilano,49.26682,-123.15312,Entire home/apt,139.0,1,0,1
176,3093219,Kitsilano,49.2669,-123.18107,Entire home/apt,425.0,20,10,1
177,3100878,Downtown,49.27622,-123.12585,Entire home/apt,115.0,3,272,1
178,3124378,Downtown,49.27511,-123.12679,Entire home/apt,139.0,5,0,33
179,3130486,Mount Pleasant,49.26731,-123.09774,Entire home/apt,139.0,123,14,2
180,3133244,West End,49.27917,-123.1337,Entire home/apt,200.0,76,0,1
181,3138351,Renfrew-Collingwood,49.24187,-123.03668,Private room,50.0,46,29,2
182,3142563,Kitsilano,49.26366,-123.18138,Entire home/apt,110.0,210,0,1
183,3158555,Hastings-Sunrise,49.2785,-123.05217,Entire home/apt,80.0,199,0,1
184,3158923,Grandview-Woodland,49.26802,-123.07374,Entire home/apt,139.0,0,0,1
185,3168686,Downtown Eastside,49.2839,-123.10111,Entire home/apt,188.0,64,9,2
186,3177610,Downtown,49.27914,-123.12016,Entire home/apt,400.0,24,179,1
187,3183304,Renfrew-Collingwood,49.24348,-123.03844,Private room,40.0,50,89,2
188,3194330,Grandview-Woodland,49.26989254514103,-123.0654059540458,Entire home/apt,95.0,1,270,1
189,3215295,Riley Park,49.2498,-123.10378,Entire home/apt,120.0,54,354,1
190,3230030,Downtown,49.28875,-123.12417,Entire home/apt,139.0,6,0,33
191,3230315,Downtown,49.28886,-123.12616,Entire home/apt,93.0,3,16,33
192,3241017,Downtown,49.2782,-123.10575,Entire home/apt,139.0,146,0,1
193,3248971,West End,49.28719,-123.12856,Entire home/apt,73.0,2,42,33
194,3258141,Kitsilano,49.27197,-123.17999,Entire home/apt,139.0,5,0,1
195,3302983,Downtown,49.29004,-123.12665,Entire home/apt,139.0,1,0,33
196,3309313,Downtown,49.27899,-123.12156,Entire home/apt,385.0,4,365,41
197,3331054,Hastings-Sunrise,49.28488,-123.02993,Entire home/apt,84.0,96,152,1
198,3340865,Dunbar Southlands,49.2472936,-123.1706461,Entire home/apt,108.0,19,0,1
199,3342823,Kitsilano,49.26769548861046,-123.15297966446786,Entire home/apt,275.0,116,269,1
200,3379799,Kitsilano,49.26214586003144,-123.18029817007611,Entire home/apt,681.0,7,41,1
201,3379810,Hastings-Sunrise,49.27402,-123.054,Entire home/apt,139.0,8,0,1
202,3415750,West End,49.28374,-123.12267,Entire home/apt,125.0,103,316,1
203,3425973,Kitsilano,49.27523,-123.1524,Entire home/apt,234.0,18,55,1
204,3430102,Renfrew-Collingwood,49.23322,-123.02764,Private room,139.0,4,0,1
205,3458717,Kitsilano,49.26867,-123.16656,Entire home/apt,394.0,125,263,3
206,3479638,Renfrew-Collingwood,49.24559,-123.04974,Private room,90.0,29,240,5
207,3534949,Dunbar Southlands,49.25782,-123.20131,Private room,126.0,100,89,1
208,3563108,Downtown Eastside,49.27928,-123.07949,Private room,95.0,449,0,1
209,3577737,Hastings-Sunrise,49.27021,-123.03816,Entire home/apt,150.0,249,0,1
210,3594666,Downtown,49.27656,-123.11813,Entire home/apt,452.0,12,365,5
211,3621849,Hastings-Sunrise,49.29169,-123.05097,Entire home/apt,414.0,201,0,2
212,3629071,Grandview-Woodland,49.27198,-123.0681,Entire home/apt,130.0,711,226,1
213,3638973,Renfrew-Collingwood,49.24389,-123.0485,Private room,137.0,24,270,5
214,3678827,Downtown,49.27514,-123.12373,Entire home/apt,380.0,0,362,1
215,3678989,Grandview-Woodland,49.27166,-123.06616,Entire home/apt,121.0,344,0,1
216,3679016,Grandview-Woodland,49.27412,-123.07405,Entire home/apt,139.0,96,0,1
217,3742414,West Point Grey,49.26013,-123.1891,Entire home/apt,185.0,202,273,1
218,3766620,Kitsilano,49.26268,-123.14881,Entire home/apt,139.0,32,0,1
219,3803319,Mount Pleasant,49.25725,-123.08369,Entire home/apt,199.0,64,0,1
220,3811719,Downtown,49.28873,-123.12582,Entire home/apt,88.0,3,13,33
221,3812348,Riley Park,49.2357,-123.10428,Private room,85.0,765,72,1
222,3829365,Grandview-Woodland,49.26998,-123.06769,Entire home/apt,95.0,650,37,1
223,3857478,West End,49.2852,-123.13391,Entire home/apt,141.0,201,71,1
224,3859085,Mount Pleasant,49.26037,-123.10503,Private room,104.0,467,279,1
225,3888379,Grandview-Woodland,49.26756,-123.06667,Entire home/apt,155.0,74,40,2
226,3902807,Kitsilano,49.2649,-123.16641,Entire home/apt,395.0,0,144,1
227,3971726,Downtown,49.28169,-123.11802,Entire home/apt,98.0,212,0,1
228,3994011,West End,49.29236,-123.13936,Entire home/apt,80.0,12,37,33
229,4054111,Mount Pleasant,49.25886,-123.10898,Entire home/apt,321.0,251,220,1
230,4075378,Downtown,49.27399,-123.12399,Entire home/apt,120.0,106,364,1
231,4104870,Grandview-Woodland,49.2719668,-123.0706379,Entire home/apt,138.0,109,360,3
232,4118193,Downtown,49.28063,-123.12652,Entire home/apt,542.0,0,361,1
233,4120301,Downtown,49.27949,-123.10711,Entire home/apt,169.0,18,364,13
234,4137579,Grandview-Woodland,49.27585,-123.06803,Entire home/apt,229.0,121,356,1
235,4145030,Killarney,49.22826,-123.03193,Private room,153.0,35,365,5
236,4179637,Downtown,49.27429,-123.12966,Private room,139.0,61,0,1
237,4225233,West End,49.28409,-123.12462,Entire home/apt,123.0,63,346,1
238,4244379,Downtown Eastside,49.28109,-123.10671,Entire home/apt,148.0,450,0,1
239,4256725,Hastings-Sunrise,49.28675,-123.04766,Entire home/apt,132.0,70,76,1
240,4318059,Downtown,49.27707,-123.11507,Entire home/apt,200.0,21,365,2
241,4348412,Kitsilano,49.2669,-123.16656,Entire home/apt,139.0,340,0,1
242,4377155,Kensington-Cedar Cottage,49.25595,-123.07807,Entire home/apt,139.0,38,0,1
243,4395511,Renfrew-Collingwood,49.23695,-123.03251,Private room,55.0,306,0,2
244,4404431,Kitsilano,49.26184,-123.14763,Entire home/apt,139.0,12,0,1
245,4418911,Kitsilano,49.27351,-123.15035,Entire home/apt,140.0,31,0,1
246,4465068,Kitsilano,49.27487,-123.14964,Entire home/apt,675.0,28,88,1
247,4465400,Kitsilano,49.27315,-123.16093,Entire home/apt,543.0,42,6,1
248,4493377,Kitsilano,49.26137,-123.16982,Entire home/apt,155.0,117,161,1
249,4495075,West End,49.287994384765625,-123.12734985351562,Entire home/apt,115.0,0,70,1
250,4510264,Hastings-Sunrise,49.27216,-123.04006,Entire home/apt,139.0,12,0,2
251,4568364,West Point Grey,49.26424,-123.20055,Entire home/apt,156.0,314,0,1
252,4588807,Mount Pleasant,49.27186,-123.10121,Private room,225.0,73,364,2
253,4624838,Mount Pleasant,49.26041,-123.09035,Private room,79.0,237,71,2
254,4630113,Renfrew-Collingwood,49.2346,-123.02652,Entire home/apt,100.0,15,7,1
255,4637856,Grandview-Woodland,49.28111,-123.07293,Entire home/apt,110.0,9,144,1
256,4659229,Riley Park,49.25107,-123.1025,Entire home/apt,125.0,187,250,1
257,4679955,Kitsilano,49.26329,-123.18427,Entire home/apt,250.0,82,133,1
258,4694785,Downtown,49.27856,-123.125,Entire home/apt,139.0,3,0,1
259,4699429,Renfrew-Collingwood,49.24808,-123.03588,Private room,65.0,5,50,5
260,4701041,Renfrew-Collingwood,49.24869,-123.03572,Private room,65.0,2,134,5
261,4701190,Renfrew-Collingwood,49.24961,-123.03755,Entire home/apt,150.0,12,135,5
262,4747128,Downtown,49.27469,-123.13217,Entire home/apt,363.0,171,181,1
263,4787924,Kensington-Cedar Cottage,49.25244,-123.0623,Entire home/apt,85.0,156,163,1
264,4849995,Downtown,49.27147,-123.12661,Entire home/apt,250.0,18,181,8
265,4856515,Riley Park,49.24027,-123.10221,Private room,100.0,67,254,2
266,4888430,Mount Pleasant,49.261467,-123.082291,Entire home/apt,102.0,516,142,1
267,4902682,Grandview-Woodland,49.27315,-123.06846,Entire home/apt,425.0,20,49,1
268,4924996,Grandview-Woodland,49.27517,-123.06581,Entire home/apt,185.0,20,349,2
269,4942126,Fairview,49.26616,-123.12985,Private room,95.0,143,156,2
270,4995055,Riley Park,49.24531,-123.09533,Entire home/apt,81.0,58,0,3
271,5005722,West Point Grey,49.25965,-123.20512,Entire home/apt,411.0,134,251,1
272,5089343,West End,49.28165,-123.12841,Private room,139.0,73,0,1
273,5104748,Shaughnessy,49.23843039799316,-123.15372381359336,Private room,75.0,27,364,4
274,5104965,Shaughnessy,49.2384864,-123.152607,Entire home/apt,88.0,40,351,4
275,5154272,Downtown,49.27508,-123.12388,Entire home/apt,200.0,17,59,8
276,5154591,Fairview,49.26106,-123.13975,Entire home/apt,307.0,6,0,1
277,5278749,Mount Pleasant,49.2644,-123.09873,Entire home/apt,139.0,92,0,1
278,5315811,Fairview,49.25872,-123.12185,Private room,85.0,10,254,3
279,5347437,Downtown,49.28045,-123.10871,Entire home/apt,157.0,301,327,2
280,5391067,Downtown Eastside,49.28287,-123.09425,Entire home/apt,139.0,50,0,1
281,5415806,Downtown,49.27841,-123.10815,Entire home/apt,125.0,6,179,2
282,5423637,West End,49.2827,-123.1241,Entire home/apt,165.0,72,317,12
283,5439203,Downtown,49.27638,-123.12394,Entire home/apt,118.0,166,251,3
284,5459210,Mount Pleasant,49.25853,-123.08005,Entire home/apt,139.0,10,0,1
285,5471844,Kensington-Cedar Cottage,49.24731,-123.08777,Entire home/apt,119.0,948,0,1
286,5480529,West End,49.287139892578125,-123.12576293945312,Entire home/apt,225.0,37,251,1
287,5490474,Kitsilano,49.27105,-123.18246,Entire home/apt,149.0,92,169,2
288,5571829,Downtown,49.27832,-123.12109,Entire home/apt,129.0,38,142,1
289,5602997,Grandview-Woodland,49.27549,-123.06406,Entire home/apt,213.0,293,158,1
290,5631903,South Cambie,49.24942,-123.12413,Entire home/apt,207.0,240,0,1
291,5638429,Downtown,49.27899,-123.11768,Entire home/apt,114.0,63,364,1
292,5642121,Grandview-Woodland,49.26914,-123.05684,Entire home/apt,135.0,416,0,1
293,5649604,Grandview-Woodland,49.27694,-123.06243,Entire home/apt,249.0,83,54,1
294,5670706,West End,49.28722,-123.12588,Entire home/apt,139.0,28,137,1
295,5747556,Grandview-Woodland,49.27213668823242,-123.07023620605467,Entire home/apt,177.0,116,356,3
296,5759976,Downtown Eastside,49.27851,-123.09941,Entire home/apt,139.0,38,0,1
297,5761885,Grandview-Woodland,49.28512,-123.05801,Entire home/apt,139.0,1,0,1
298,5795871,Downtown,49.28084,-123.12598,Entire home/apt,139.0,8,0,33
299,5814747,Renfrew-Collingwood,49.24554,-123.05089,Entire home/apt,108.0,341,45,1
300,5877217,West End,49.28941,-123.12908,Entire home/apt,120.0,26,259,1
301,5881530,Grandview-Woodland,49.27675,-123.06537,Entire home/apt,144.0,398,155,1
302,5919984,Downtown,49.27555,-123.11307,Entire home/apt,175.0,3,164,8
303,5961772,Downtown,49.27818,-123.13048,Entire home/apt,250.0,0,0,1
304,6018284,Grandview-Woodland,49.27572,-123.06039,Entire home/apt,764.0,19,162,1
305,6032973,West Point Grey,49.26442,-123.19224,Entire home/apt,1118.0,38,151,1
306,6045404,Riley Park,49.24506,-123.09533,Entire home/apt,139.0,27,0,3
307,6128764,Downtown,49.27915828402665,-123.12338544921194,Entire home/apt,299.0,135,303,2
308,6134895,Mount Pleasant,49.25679,-123.07926,Entire home/apt,200.0,192,226,1
309,6166558,Fairview,49.26649,-123.12179,Entire home/apt,139.0,5,0,1
310,6226872,Hastings-Sunrise,49.26407,-123.03992,Entire home/apt,52.0,80,10,2
311,6239107,Downtown,49.27809,-123.12919,Entire home/apt,139.0,14,0,1
312,6270968,Downtown,49.27912,-123.12066,Entire home/apt,350.0,37,252,1
313,6324453,Mount Pleasant,49.26071,-123.09265,Entire home/apt,607.0,79,323,1
314,6347338,Riley Park,49.25076,-123.10873,Entire home/apt,140.0,87,365,1
315,6364673,Downtown,49.27729,-123.11603,Entire home/apt,139.0,29,0,2
316,6365193,Grandview-Woodland,49.2716,-123.06175,Entire home/apt,139.0,5,0,1
317,6407591,Hastings-Sunrise,49.26624,-123.04491,Entire home/apt,139.0,9,0,1
318,6416204,West End,49.27942,-123.13355,Entire home/apt,156.0,171,364,1
319,6416686,Renfrew-Collingwood,49.24373,-123.04979,Private room,150.0,17,90,5
320,6421331,Hastings-Sunrise,49.28038,-123.02865,Entire home/apt,250.0,63,359,2
321,6425616,Downtown Eastside,49.28113,-123.10764,Entire home/apt,325.0,277,83,1
322,6426269,Fairview,49.26145,-123.13173,Entire home/apt,214.0,4,306,1
323,6452450,West End,49.29241,-123.13471,Entire home/apt,139.0,4,0,1
324,6453318,Downtown Eastside,49.28208,-123.10801,Entire home/apt,149.0,7,104,1
325,6468462,Grandview-Woodland,49.26742,-123.0665,Entire home/apt,139.0,15,0,2
326,6493890,Mount Pleasant,49.26644,-123.08922,Entire home/apt,139.0,43,0,1
327,6494884,Grandview-Woodland,49.27177,-123.06063,Entire home/apt,475.0,59,314,1
328,6602481,Downtown,49.27806,-123.13061,Entire home/apt,141.0,125,170,1
329,6611269,Renfrew-Collingwood,49.25472,-123.03387,Entire home/apt,68.0,62,53,3
330,6643391,Downtown,49.27551,-123.12431,Entire home/apt,139.0,24,0,1
