,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
0,150.0,2,283,1.68,1,0,30
1,120.0,31,15,0.15,1,363,0
2,165.0,1,493,3.0,1,0,55
3,150.0,30,101,0.66,1,92,5
4,150.0,3,33,0.21,1,17,0
5,800.0,5,7,0.11,1,0,0
6,100.0,365,3,0.04,5,89,0
7,,5,203,1.49,1,0,0
8,,30,0,,1,0,0
9,51.0,30,118,0.76,1,234,0
10,99.0,1,514,3.37,1,0,59
11,75.0,30,131,0.85,4,339,3
12,250.0,30,2,0.11,2,130,0
13,99.0,30,78,0.46,1,357,2
14,70.0,30,398,2.63,4,137,24
15,72.0,30,233,1.58,4,135,10
16,150.0,30,17,0.13,2,242,1
17,169.0,30,44,0.29,4,97,5
18,125.0,4,129,0.84,1,299,32
19,99.0,3,586,3.61,1,279,62
20,169.0,30,33,0.2,4,151,0
21,,31,9,0.06,1,0,0
22,391.0,3,37,0.36,3,4,6
23,139.0,30,23,0.15,1,85,4
24,125.0,2,771,4.97,2,290,55
25,,28,271,1.77,1,0,3
26,90.0,3,662,4.39,1,7,64
27,90.0,30,44,0.29,5,269,2
28,125.0,5,164,1.08,1,0,18
29,,10,7,0.11,1,0,0
30,131.0,30,58,0.39,1,129,1
31,,7,13,0.11,1,0,0
32,123.0,30,256,2.89,3,314,25
33,100.0,30,1,0.01,1,218,0
34,298.0,3,95,0.76,1,34,12
35,145.0,30,24,0.18,2,0,1
36,65.0,14,42,0.29,1,72,0
37,100.0,365,6,0.08,5,89,0
38,145.0,30,156,1.09,2,95,5
39,168.0,30,72,0.51,2,0,2
40,255.0,30,46,0.32,5,364,0
41,,30,58,0.42,1,0,0
42,71.0,30,259,1.82,4,132,23
43,285.0,3,154,1.09,1,327,24
44,158.0,30,269,1.91,2,91,4
45,153.0,2,51,0.37,5,365,4
46,153.0,2,44,0.31,5,363,4
47,108.0,1,14,0.11,1,154,9
48,1000.0,2,226,1.79,1,0,32
49,127.0,31,165,1.18,1,129,7
50,475.0,5,36,0.26,2,91,1
51,260.0,30,4,0.03,41,316,1
52,486.0,1,92,0.73,1,347,31
53,90.0,30,194,1.4,1,86,0
54,575.0,2,61,0.48,2,355,6
55,310.0,2,190,1.37,1,108,21
56,88.0,30,66,0.48,1,49,2
57,150.0,30,75,0.59,1,166,6
58,52.0,30,22,0.17,2,1,2
59,100.0,31,27,0.2,1,0,0
60,,3,181,1.36,1,0,8
61,135.0,30,94,0.74,1,234,6
62,155.0,31,13,0.1,1,36,0
63,,2,78,0.62,1,0,0
64,,3,237,1.78,1,0,38
65,240.0,30,10,0.08,41,341,4
66,385.0,30,11,0.08,41,365,2
67,83.0,31,62,0.47,3,270,7
68,92.0,14,84,0.62,3,224,7
69,125.0,31,3,0.02,3,211,0
70,30.0,30,0,,1,0,0
71,95.0,30,23,0.18,3,361,0
72,84.0,31,74,0.56,1,144,5
73,,7,35,0.27,1,0,1
74,140.0,3,275,2.09,1,180,36
75,,1,6,0.05,4,0,0
76,99.0,4,42,1.2,2,85,6
77,,30,11,0.11,33,0,2
78,,30,15,0.12,33,0,2
79,84.0,2,364,2.82,1,145,46
80,125.0,30,217,1.7,3,112,3
81,70.0,30,110,0.85,1,49,7
82,125.0,2,131,1.02,1,155,36
83,86.0,2,86,0.93,1,12,14
84,200.0,3,55,0.43,2,32,1
85,,365,11,0.09,33,0,0
86,780.0,7,48,0.38,1,110,6
87,75.0,30,61,0.48,4,360,1
88,103.0,3,330,2.56,1,200,31
89,114.0,3,83,1.26,1,172,22
90,199.0,5,122,0.96,1,45,14
91,300.0,6,16,0.14,2,102,1
92,179.0,3,246,1.94,1,114,23
93,,90,99,0.78,1,0,0
94,520.0,3,14,0.11,1,337,3
